Country Name,netMigration_2011_2018
Middle East & North Africa,-107235.5
Mexico,-90309.625
Marshall Islands,0.0
Middle income,-2768328.125
North Macedonia,-1731.5
Mali,-62806.125
Malta,2500.75
Myanmar,-168096.875
Middle East & North Africa (excluding high income),-875165.25
Montenegro,-689.0
Mongolia,-1065.5
Northern Mariana Islands,0.0
Mozambique,-6250.0
Mauritania,6250.5
Mauritius,-1509.875
Malawi,-20065.75
Malaysia,62499.75
North America,1523415.0
Namibia,-7633.0
New Caledonia,689.125
Niger,4864.0
Nigeria,-75000.0
Nicaragua,-30172.5
Netherlands,17835.875
Norway,45226.75
Nepal,-228961.25
Nauru,0.0
New Zealand,20662.25
OECD members,3925279.625
Oman,165347.75
Other small states,137980.375
Pakistan,-280757.75
Panama,10513.125
Peru,-16183.0
Philippines,-146297.125
Palau,0.0
Papua New Guinea,-999.75
Poland,-58472.75
Pre-demographic dividend,-479946.25
Puerto Rico,-91579.125
"Korea, Dem. People’s Rep.",-6753.25
Portugal,-21250.125
Paraguay,-21238.75
West Bank and Gaza,-26235.125
Pacific island small states,-19235.25
Post-demographic dividend,3540601.75
French Polynesia,-1627.0
Qatar,100606.5
Romania,-83749.75
Russian Federation,339109.875
Rwanda,-19136.5
South Asia,-1737003.875
Saudi Arabia,299712.375
Sudan,-98518.25
Senegal,-39250.375
Singapore,56521.25
Solomon Islands,-1999.5
Sierra Leone,-5250.0
El Salvador,-55388.625
San Marino,0.0
Somalia,-54175.875
Serbia,6194.875
Sub-Saharan Africa (excluding high income),-601725.75
South Sudan,-121374.75
Sub-Saharan Africa,-603485.625
Small states,96431.875
Sao Tome and Principe,-2100.125
Suriname,-1249.875
Slovak Republic,2346.125
Slovenia,3321.25
Sweden,56744.75
Eswatini,-10441.0
Sint Maarten (Dutch part),0.0
Seychelles,-250.0
Syrian Arab Republic,-940492.5
Turks and Caicos Islands,0.0
Chad,13750.0
East Asia & Pacific (IDA & IBRD countries),-938154.0
Europe & Central Asia (IDA & IBRD countries),464909.0
Togo,-2499.125
Thailand,33067.0
Tajikistan,-29621.625
Turkmenistan,-9375.375
Latin America & the Caribbean (IDA & IBRD countries),-566515.125
Timor-Leste,-6869.25
Middle East & North Africa (IDA & IBRD countries),-848930.125
Tonga,-2123.875
South Asia (IDA & IBRD),-1737003.875
Sub-Saharan Africa (IDA & IBRD countries),-603485.625
Trinidad and Tobago,-999.75
Tunisia,-21250.0
Turkey,397836.0
Tuvalu,0.0
Tanzania,-56352.0
Uganda,67934.375
Ukraine,22769.375
Upper middle income,212316.625
Uruguay,-5625.0
United States,1216968.125
Uzbekistan,-13847.875
St. Vincent and the Grenadines,-491.75
"Venezuela, RB",-462160.375
British Virgin Islands,0.0
Virgin Islands (U.S.),-844.375
Vietnam,-99999.75
Vanuatu,298.125
World,0.0
Samoa,-3275.25
Kosovo,0.0
"Yemen, Rep.",-28126.25
South Africa,205840.375
Zambia,-11250.0
Zimbabwe,-150910.625
